vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Keti Grei_u_7,0.293367,510.560662,1096.224457,2667.634128,3694.469699,343.4155042
Keti Grei_u_8,0.672098,489.695437,1223.320076,2545.560358,3581.420015,389.0885588
Keti Grei_w_1,0.554546,702.455508,1301.843657,2837.984554,3637.980127,268.8667713
Keti Grei_w_2,0.887659,768.944377,1202.854543,3057.545344,3483.564641,394.1244423
Keti Grei_w_3,0.789649,581.216718,1204.105736,3089.409529,3642.315854,249.0807919
Keti Grei_w_4,0.345612,930.045419,1414.08222,3119.694695,3686.481715,440.579856
Keti Grei_w_5,0.902557,799.609787,1308.110541,3046.66996,3634.16227,384.0421704
Keti Grei_w_6,0.915618,606.131312,1195.305069,3215.887236,3779.354203,291.5649874
Keti Grei_w_7,0.659036,772.51194,1439.217306,3198.838854,3831.951444,390.1069725
Keti Grei_w_8,0.912812,975.83944,1521.448323,2545.695906,3482.995713,228.231616
Keti Grei_w_9,0.910975,643.295998,1252.119607,3073.491326,3118.002075,267.5653361
Ninou_a_1,0.175816,1007.758285,1488.964702,3020.375148,3468.122141,479.2942478
Ninou_a_2,0.358674,774.746729,1202.381536,3074.183016,3491.724418,434.1202719
Ninou_a_3,0.669291,813.737397,1213.379662,2389.291026,3436.964873,438.0192237
Ninou_a_4,0.878271,573.65069,1303.796303,3356.347346,4011.326381,326.0155235
Ninou_a_5,0.776587,632.031582,1093.044362,3385.5104,4051.30264,215.9259839
Ninou_a_6,0.463163,880.288832,1510.06087,2391.992408,3426.131546,432.2046738
Ninou_a_7,0.371735,1287.290177,1333.60924,3441.225844,3814.063231,431.2378193
Ninou_a_8,0.476225,828.635679,1468.275999,3177.093997,3820.070955,323.0077927
Ninou_e_1,0.630108,631.059243,1935.371574,2929.358189,3509.896513,303.3316728
Ninou_e_2,0.645975,555.963685,1901.666814,2990.396861,4151.715177,301.3971063
Ninou_e_3,0.384796,600.290948,2025.748023,2918.700739,4005.331455,290.5092394
Ninou_e_4,0.254184,763.442082,2255.584252,2264.599536,3230.396079,435.5681295
Ninou_e_5,0.358674,699.828115,1916.73455,1964.944286,3110.802583,350.8820929
Ninou_i_1,0.358674,472.876499,2263.283604,2856.758497,3437.588464,463.0786325
Ninou_i_2,0.306429,375.077909,2406.4161,2932.616437,4130.074123,289.075267
Ninou_i_3,0.65623,396.869849,2375.921497,2903.891012,3316.706,332.3977609
Ninou_i_4,0.42398,357.167335,2302.578753,2866.233619,4004.571631,327.5378966
